week;day_index;workout_name;exercise_name;target_sets;target_reps;notes
1;0;Upper (Strength Focus);45° Incline Barbell Press;2;6-8;1 second pause at the bottom of each rep while maintaining tension on the pecs
1;0;Upper (Strength Focus);Cable Crossover Ladder;2;6-10;Do one set with low cable position, one set with medium-height cable position, and one height with a high cable position. If you only have one or two sets, choose the one or two cable positions you prefer.
1;0;Upper (Strength Focus);Wide-Grip Pull-Up;2;6-10;1.5x shoulder width overhand grip. Slow 2-3 second negative. Feel your lats pulling apart on the way down.
1;0;Upper (Strength Focus);High-Cable Lateral Raise;2;6-10;Focus on squeezing your lateral delt to move the weight.
1;0;Upper (Strength Focus);Pendlay Deficit Row;2;6-8;Stand on a bumper plate. Focus on getting a big stretch and touch your stomach/chest on each rep! 
1;0;Upper (Strength Focus);Overhead Cable Triceps Extension (Bar);2;6-10;Optionally pause for 0.5-1 second in the stretched aspect of each rep
1;0;Upper (Strength Focus);Bayesian Cable Curl;2;6-10;If you have a left-right bicep size imbalance, do these 1 arm at a time, starting with the weaker arm. Take the weaker arm to the listed RPE. Then match the reps with the other arm (stop once you've matched the reps, even if the RPE is lower). If you don't have a size imbalance, do these both arms at the same time.
1;1;Lower (Strength Focus);Lying Leg Curl;2;6-10;Set the machine so that you get the biggest stretch possible at the bottom. Prevent your butt from popping up as you curl. 
1;1;Lower (Strength Focus);Smith Machine Squat;2;6-8;Once you are under the bar, set up your feet as you would a normal squat and then bring them forward ~3-6 inches. This will cause you to lean back into the bar slightly, allowing for a more upright squat, while also placing more tension on the quads. If your heels are raising at the bottom, you may need to bring your feet more forward. If your feet feel like they are slipping or your lower back is rounding at the bottom, try bringing your feet back a bit.
1;1;Lower (Strength Focus);Barbell RDL;2;6-8;To keep tension on the hamstrings, stop about 75% of the way to full lockout on each rep (i.e. stay in the bottom 3/4 of the range of motion).
1;1;Lower (Strength Focus);Leg Extension;2;6-10;Set the seat back as far as it will go while still feeling comfortable. Grab the handles as hard as you can to pull your butt down into the seat. Use a 2-3 second negative. Feel your quads pulling apart on the negative.
1;1;Lower (Strength Focus);Standing Calf Raise;2;6-8;1-2 second pause at the bottom of each rep. Instead of just going up onto your toes, think about rolling your ankle back and forth on the balls of your feet.
1;1;Lower (Strength Focus);Cable Crunch;2;6-10;Round your lower back as you crunch. Maintain a mind-muscle connection with your 6-pack.
1;2;Pull (Hypertrophy Focus);Neutral-Grip Lat Pulldown;2;6-10;Do these pulldowns with the handle more out in front of you, more like a cross between pullover and a pulldown. Focus on feeling your lats working more than the weight you're using.
1;2;Pull (Hypertrophy Focus);Chest-Supported Machine Row;2;6-10;Flare elbows out at roughly 45° and squeeze your shoulder blades together hard at the top of each rep.
